latitude,longitude,depth,mag,year
-29.4227,-68.1586,105.96,4.5,2015
56.642,-169.1585,16.42,4.5,2015
-31.4387,-177.7747,18.99,4.9,2015
56.6128,-169.1345,12.18,5.1,2015
-5.5525,152.0447,35.0,4.8,2015
5.2856,-82.5906,10.58,5.1,2015
7.7198,-82.9528,15.51,5.3,2015
56.5793,-169.2945,11.01,4.6,2015
56.6406,-169.1176,5.5,5.4,2015
-6.8277,127.5523,345.68,5.2,2015
56.6478,-168.9729,6.67,4.6,2015
56.6619,-169.0408,19.4,4.8,2015
37.2516,137.1808,33.07,4.6,2015
52.6662,-174.5198,162.64,4.6,2015
28.2987,83.9732,32.41,4.8,2015
56.6517,-168.9277,10.0,5.3,2015
15.241,147.1244,5.0,5.5,2015
14.5281,-89.1301,10.0,4.6,2015
-25.7843,179.6665,494.4,4.6,2015
-19.8196,-178.4085,606.81,4.5,2015
56.6465,-168.9319,8.19,4.8,2015
56.556,-169.0849,6.32,4.5,2015
-21.0798,170.1835,10.0,4.6,2015
0.2008,128.7267,28.87,4.8,2015
-15.0938,-173.5881,10.0,5.0,2015
-21.3739,170.1349,14.96,4.9,2015
-17.7009,-178.8796,537.83,4.6,2015
-52.5325,26.62,8.38,5.1,2015
-21.3439,170.0214,9.86,4.9,2015
-21.5221,170.2135,8.7,4.8,2015
-52.8924,25.1803,10.0,4.9,2015
-52.539,26.5358,11.56,5.1,2015
-21.2106,170.1299,7.92,5.1,2015
-21.9167,170.5494,11.34,4.6,2015
-6.2572,130.7113,132.29,4.7,2015
-21.2452,170.158,7.08,6.0,2015
-21.2819,170.1128,4.13,4.8,2015
35.9804,140.2822,35.0,4.5,2015
-19.2408,-174.0675,10.0,4.6,2015
-56.7976,-150.7356,10.0,4.8,2015
49.4954,156.1026,25.6,5.1,2015
-16.9135,-14.2311,10.0,5.0,2015
13.838,-92.5161,16.0,4.5,2015
-20.4787,172.5816,37.33,4.5,2015
-57.9619,-25.7189,64.79,4.7,2015
-16.7713,-15.5964,10.0,4.9,2015
39.8145,141.6925,79.3,4.5,2015
