antecedent,consequent,accuracy
Q2,"LOW_DEPTH, NH, LOW_MAG",0.9021717709195538
Q2,"LOW_MAG, NH",0.9861455993062946
LOW_MAG,Q2,0.5334989444953835
"LOW_MAG, Q2, NH",LOW_DEPTH,0.9148464197925618
NH,Q2,0.7136307380738074
NH,"LOW_MAG, LOW_DEPTH",0.8388276327632763
"Q2, LOW_DEPTH",NH,1.0
"LOW_MAG, Q2",LOW_DEPTH,0.9148464197925618
LOW_DEPTH,"Q2, NH, LOW_MAG",0.5710970832605604
LOW_MAG,LOW_DEPTH,0.7988783930741838
LOW_MAG,"Q2, NH",0.5334989444953835
"LOW_MAG, LOW_DEPTH","Q2, NH",0.6109435473108235
LOW_MAG,"Q2, LOW_DEPTH, NH",0.4880695993347122
LOW_DEPTH,"LOW_MAG, Q2",0.5710970832605604
NH,"Q2, LOW_DEPTH, LOW_MAG",0.6438175067506751
Q2,"LOW_MAG, LOW_DEPTH",0.9021717709195538
NH,"Q2, LOW_DEPTH",0.6530856210621062
"Q2, LOW_DEPTH",LOW_MAG,0.9858087301074574
LOW_MAG,"LOW_DEPTH, Q2",0.4880695993347122
"Q2, NH","LOW_DEPTH, LOW_MAG",0.9021717709195538
LOW_DEPTH,LOW_MAG,0.9347788118466029
NH,"LOW_MAG, Q2",0.7037438118811881
Q2,LOW_MAG,0.9861455993062946
"LOW_MAG, LOW_DEPTH, Q2",NH,1.0
Q2,LOW_DEPTH,0.9151590398486461
"LOW_MAG, NH","Q2, LOW_DEPTH",0.6670066441310176
Q2,"LOW_DEPTH, NH",0.9151590398486461
LOW_DEPTH,NH,0.7709149429875994
"LOW_DEPTH, NH",Q2,0.7514685654179141
LOW_DEPTH,Q2,0.5793183462661244
"LOW_MAG, LOW_DEPTH, NH",Q2,0.767520622359332
"Q2, NH",LOW_MAG,0.9861455993062946
"Q2, LOW_DEPTH, NH",LOW_MAG,0.9858087301074574
"Q2, LOW_DEPTH","NH, LOW_MAG",0.9858087301074574
LOW_DEPTH,"Q2, NH",0.5793183462661244
LOW_MAG,"LOW_DEPTH, NH",0.6359042156214684
"LOW_MAG, NH",LOW_DEPTH,0.86904068073202
NH,LOW_MAG,0.9652340234023402
"LOW_MAG, LOW_DEPTH",Q2,0.6109435473108235
LOW_MAG,NH,0.7317312408043158
"LOW_DEPTH, NH","Q2, LOW_MAG",0.7408042721903066
"LOW_MAG, NH",Q2,0.7290913859424175
LOW_DEPTH,"LOW_MAG, NH",0.7440804411287707
Q2,NH,1.0
"LOW_MAG, Q2",NH,1.0
"Q2, NH",LOW_DEPTH,0.9151590398486461
NH,LOW_DEPTH,0.869079095409541
"LOW_MAG, LOW_DEPTH",NH,0.795996263178967
"LOW_MAG, Q2","LOW_DEPTH, NH",0.9148464197925618
"LOW_DEPTH, NH",LOW_MAG,0.9651913585241524
