antecedent,consequent,accuracy
LOW_MAG,Q2,0.44210230807956064
NH,Q2,0.5807046641492639
"Q2, LOW_MAG",LOW_DEPTH,0.8898223847699062
LOW_DEPTH,"Q2, NH, LOW_MAG",0.4511713005817031
LOW_MAG,"Q2, NH",0.44210230807956064
"LOW_MAG, LOW_DEPTH","Q2, NH",0.4873021764353807
LOW_MAG,"Q2, LOW_DEPTH, NH",0.3933925300876344
NH,"Q2, LOW_DEPTH, LOW_MAG",0.5067350955152679
LOW_MAG,"LOW_DEPTH, Q2",0.3933925300876344
"Q2, NH","LOW_DEPTH, LOW_MAG",0.8726210185648122
LOW_DEPTH,LOW_MAG,0.9258552955417207
NH,"Q2, LOW_MAG",0.5694789254445441
Q2,LOW_MAG,0.9806687643517285
"LOW_MAG, LOW_DEPTH, Q2",NH,1.0
Q2,LOW_DEPTH,0.8903625242875405
"LOW_MAG, NH","Q2, LOW_DEPTH",0.5309540421051481
"LOW_MAG, LOW_DEPTH, NH",Q2,0.6097778856352655
"Q2, LOW_DEPTH, NH",LOW_MAG,0.9800738404427737
NH,LOW_MAG,0.9543859832126788
LOW_MAG,NH,0.7409163484807381
LOW_DEPTH,MED_MAG,0.06765433398242197
"LOW_DEPTH, NH","Q2, LOW_MAG",0.5823011395419457
"LOW_MAG, NH",Q2,0.5966966567630734
"Q2, NH",LOW_DEPTH,0.8903625242875405
NH,LOW_DEPTH,0.8702285829525935
"LOW_MAG, LOW_DEPTH",NH,0.799147013879833
Q2,"LOW_DEPTH, NH, LOW_MAG",0.8726210185648122
Q2,"NH, LOW_MAG",0.9806687643517285
"Q2, NH, LOW_MAG",LOW_DEPTH,0.8898223847699062
NH,"LOW_MAG, LOW_DEPTH",0.8310158624190711
"Q2, LOW_DEPTH",NH,1.0
LOW_MAG,LOW_DEPTH,0.8072866264733392
LOW_DEPTH,"LOW_MAG, Q2",0.4511713005817031
Q2,"LOW_MAG, LOW_DEPTH",0.8726210185648122
NH,"Q2, LOW_DEPTH",0.5170376706374871
MED_MAG,LOW_DEPTH,0.8128963862592297
"Q2, LOW_DEPTH",LOW_MAG,0.9800738404427737
Q2,"LOW_DEPTH, NH",0.8903625242875405
LOW_DEPTH,NH,0.7748075178705764
"LOW_DEPTH, NH",Q2,0.5941400693634228
LOW_DEPTH,Q2,0.4603441924109257
"Q2, NH",LOW_MAG,0.9806687643517285
"Q2, LOW_DEPTH","NH, LOW_MAG",0.9800738404427737
LOW_DEPTH,"Q2, NH",0.4603441924109257
LOW_MAG,"LOW_DEPTH, NH",0.6451406968912932
"LOW_MAG, NH",LOW_DEPTH,0.8707335156177419
"LOW_MAG, LOW_DEPTH",Q2,0.4873021764353807
LOW_DEPTH,"LOW_MAG, NH",0.7398944947169963
Q2,NH,1.0
"Q2, LOW_MAG",NH,1.0
"Q2, LOW_MAG","LOW_DEPTH, NH",0.8898223847699062
"LOW_DEPTH, NH",LOW_MAG,0.9549397465198421
