antecedent,consequent,accuracy
LOW_MAG,Q2,0.5717638562917494
NH,Q2,0.7480855268575193
"Q2, LOW_MAG",LOW_DEPTH,0.9142350340830996
LOW_DEPTH,"Q2, NH, LOW_MAG",0.6115535621101806
LOW_MAG,"Q2, NH",0.5717638562917494
"LOW_MAG, LOW_DEPTH","Q2, NH",0.6508455974718024
LOW_MAG,"Q2, LOW_DEPTH, NH",0.522726548644372
NH,"Q2, LOW_DEPTH, LOW_MAG",0.6755070952158757
LOW_MAG,"LOW_DEPTH, Q2",0.522726548644372
"Q2, NH","LOW_DEPTH, LOW_MAG",0.9029811043845166
LOW_DEPTH,LOW_MAG,0.9396292522923241
NH,"Q2, LOW_MAG",0.7388768424230779
Q2,LOW_MAG,0.9876903320491653
"LOW_MAG, LOW_DEPTH, Q2",NH,1.0
Q2,LOW_DEPTH,0.9143826820766832
"LOW_MAG, NH","Q2, LOW_DEPTH",0.6974205294963621
"LOW_MAG, LOW_DEPTH, NH",Q2,0.8003756219714462
"Q2, LOW_DEPTH, NH",LOW_MAG,0.9875308468591377
NH,LOW_MAG,0.9685793099662394
LOW_MAG,NH,0.7495141403736074
LOW_DEPTH,MED_MAG,0.055991104042939145
"LOW_DEPTH, NH","Q2, LOW_MAG",0.7755020048684035
"LOW_MAG, NH",Q2,0.762845989812473
"Q2, NH",LOW_DEPTH,0.9143826820766832
NH,LOW_DEPTH,0.8710578321851069
"LOW_MAG, LOW_DEPTH",NH,0.8131751887553387
Q2,"LOW_DEPTH, NH, LOW_MAG",0.9029811043845166
Q2,"NH, LOW_MAG",0.9876903320491653
"Q2, NH, LOW_MAG",LOW_DEPTH,0.9142350340830996
NH,"LOW_MAG, LOW_DEPTH",0.8439875936650838
"Q2, LOW_DEPTH",NH,1.0
LOW_MAG,LOW_DEPTH,0.8031498571625798
LOW_DEPTH,"LOW_MAG, Q2",0.6115535621101806
Q2,"LOW_MAG, LOW_DEPTH",0.9029811043845166
NH,"Q2, LOW_DEPTH",0.6840364504707271
MED_MAG,LOW_DEPTH,0.8375615649103243
"Q2, LOW_DEPTH",LOW_MAG,0.9875308468591377
Q2,"LOW_DEPTH, NH",0.9143826820766832
LOW_DEPTH,NH,0.7885905623338221
"LOW_DEPTH, NH",Q2,0.785293955459623
LOW_DEPTH,Q2,0.6192754019332555
"Q2, NH",LOW_MAG,0.9876903320491653
"Q2, LOW_DEPTH","NH, LOW_MAG",0.9875308468591377
LOW_DEPTH,"Q2, NH",0.6192754019332555
LOW_MAG,"LOW_DEPTH, NH",0.6531015366970041
"LOW_MAG, NH",LOW_DEPTH,0.871366531352504
"LOW_MAG, LOW_DEPTH",Q2,0.6508455974718024
LOW_DEPTH,"LOW_MAG, NH",0.7640831945928485
Q2,NH,1.0
"Q2, LOW_MAG",NH,1.0
"Q2, LOW_MAG","LOW_DEPTH, NH",0.9142350340830996
"LOW_DEPTH, NH",LOW_MAG,0.9689225703279476
