antecedent,consequent,accuracy
"LOW_DEPTH, NH, LOW_MAG",Q2,0.8003756219714462
NH,LOW_MAG,0.9685793099662394
"LOW_DEPTH, LOW_MAG",NH,0.8131751887553387
"LOW_DEPTH, Q2",NH,1.0
LOW_DEPTH,Q2,0.6192754019332555
"LOW_DEPTH, LOW_MAG",Q2,0.6508455974718024
LOW_MAG,Q2,0.5717638562917494
LOW_DEPTH,LOW_MAG,0.9396292522923241
NH,LOW_DEPTH,0.8710578321851069
LOW_DEPTH,NH,0.7885905623338221
"Q2, NH",LOW_MAG,0.9876903320491653
Q2,LOW_MAG,0.9876903320491653
"LOW_DEPTH, Q2, NH",LOW_MAG,0.9875308468591377
LOW_DEPTH,MED_MAG,0.055991104042939145
"Q2, NH",LOW_DEPTH,0.9143826820766832
"Q2, NH, LOW_MAG",LOW_DEPTH,0.9142350340830996
"LOW_DEPTH, Q2",LOW_MAG,0.9875308468591377
"LOW_DEPTH, NH",Q2,0.785293955459623
"LOW_DEPTH, NH",LOW_MAG,0.9689225703279476
"Q2, LOW_MAG",LOW_DEPTH,0.9142350340830996
"LOW_DEPTH, Q2, LOW_MAG",NH,1.0
LOW_MAG,NH,0.7495141403736074
"NH, LOW_MAG",Q2,0.762845989812473
LOW_MAG,LOW_DEPTH,0.8031498571625798
MED_MAG,LOW_DEPTH,0.8375615649103243
"NH, LOW_MAG",LOW_DEPTH,0.871366531352504
Q2,NH,1.0
NH,Q2,0.7480855268575193
Q2,LOW_DEPTH,0.9143826820766832
"Q2, LOW_MAG",NH,1.0
