algorithm,master,dataset,time elapsed (ms)
AprioriSeq,yarn_w4_c4,1,13478
AprioriTailRec,yarn_w4_c4,1,2974
AprioriMapReduce,yarn_w4_c4,1,4130
FPGrowth,yarn_w4_c4,1,1089
AprioriSeq,yarn_w2_c2,3,54165
AprioriTailRec,yarn_w2_c2,3,7981
AprioriMapReduce,yarn_w2_c2,3,11971
FPGrowth,yarn_w2_c2,3,1940
AprioriSeq,yarn_w4_c2,2,29425
AprioriTailRec,yarn_w4_c2,2,6054
AprioriMapReduce,yarn_w4_c2,2,8009
FPGrowth,yarn_w4_c2,2,1518
AprioriSeq,yarn_w2_c1,2,31854
AprioriTailRec,yarn_w2_c1,2,6851
AprioriMapReduce,yarn_w2_c1,2,7829
FPGrowth,yarn_w2_c1,2,1373
AprioriSeq,yarn_w4_c2,1,15412
AprioriTailRec,yarn_w4_c2,1,3726
AprioriMapReduce,yarn_w4_c2,1,5435
FPGrowth,yarn_w4_c2,1,1467
AprioriSeq,yarn_w2_c2,1,18892
AprioriTailRec,yarn_w2_c2,1,4458
AprioriMapReduce,yarn_w2_c2,1,5222
FPGrowth,yarn_w2_c2,1,1891
AprioriSeq,yarn_w4_c4,3,57030
AprioriTailRec,yarn_w4_c4,3,5835
AprioriMapReduce,yarn_w4_c4,3,6184
FPGrowth,yarn_w4_c4,3,1084
AprioriSeq,yarn_w2_c1,3,51899
AprioriTailRec,yarn_w2_c1,3,7251
AprioriMapReduce,yarn_w2_c1,3,9740
FPGrowth,yarn_w2_c1,3,1762
AprioriSeq,yarn_w2_c1,1,14361
AprioriTailRec,yarn_w2_c1,1,3953
AprioriMapReduce,yarn_w2_c1,1,4767
FPGrowth,yarn_w2_c1,1,1299
AprioriSeq,yarn_w2_c2,2,28789
AprioriTailRec,yarn_w2_c2,2,7671
AprioriMapReduce,yarn_w2_c2,2,8488
FPGrowth,yarn_w2_c2,2,1495
AprioriSeq,yarn_w2_c2,4,107636
AprioriTailRec,yarn_w2_c2,4,8856
AprioriMapReduce,yarn_w2_c2,4,15165
FPGrowth,yarn_w2_c2,4,2483
AprioriSeq,yarn_w4_c2,3,47182
AprioriTailRec,yarn_w4_c2,3,7342
AprioriMapReduce,yarn_w4_c2,3,10865
FPGrowth,yarn_w4_c2,3,1660
AprioriSeq,yarn_w4_c2,4,94735
AprioriTailRec,yarn_w4_c2,4,8629
AprioriMapReduce,yarn_w4_c2,4,16111
FPGrowth,yarn_w4_c2,4,2262
AprioriSeq,yarn_w4_c4,4,79434
AprioriTailRec,yarn_w4_c4,4,7790
AprioriMapReduce,yarn_w4_c4,4,10034
FPGrowth,yarn_w4_c4,4,1488
AprioriSeq,yarn_w4_c4,2,29107
AprioriTailRec,yarn_w4_c4,2,4359
AprioriMapReduce,yarn_w4_c4,2,6113
FPGrowth,yarn_w4_c4,2,1035
AprioriSeq,yarn_w2_c1,4,89397
AprioriTailRec,yarn_w2_c1,4,9596
AprioriMapReduce,yarn_w2_c1,4,15022
FPGrowth,yarn_w2_c1,4,2389
