latitude,longitude,depth,mag,year
54.5346,-161.6642,28.39,2.7,2022
-17.6291,-178.8018,565.792,4.3,2022
19.1246662139893,-155.41633605957,32.7299995422363,2.82,2022
19.49049949646,-155.647338867188,-0.629999995231628,2.74,2022
-6.6098,129.9879,122.531,4.4,2022
61.6473,-151.2866,7.2,2.7,2022
19.521,-109.2661,10.0,4.6,2022
19.2196674346924,-155.5068359375,34.5,2.69,2022
-2.7496,-101.0621,10.0,4.5,2022
-19.0125,169.6405,246.222,4.3,2022
-7.7427,-13.6947,10.0,5.8,2022
-59.23,-25.9259,62.563,5.0,2022
18.249,-66.5275,45.17,2.55,2022
19.1361,-108.6619,10.0,4.4,2022
-2.2165,-79.6636,83.687,4.2,2022
18.0196666666667,-65.018,12.62,3.27,2022
31.6103947,-103.9758004,8.882324218999997,2.5,2022
-12.1631,166.5316,83.52,4.5,2022
-13.9296,167.5553,197.622,4.2,2022
52.4883,-173.6109,187.148,2.9,2022
27.8248,86.0362,22.2,4.2,2022
51.5001,-176.3261,35.0,2.6,2022
19.3076,-67.2298,25.0,3.65,2022
27.894,86.0386,23.943,4.9,2022
19.1206666666667,-66.5668333333333,37.22,3.39,2022
9.8729,125.5939,112.62,4.5,2022
18.9139,145.2764,235.444,4.3,2022
-64.6982,176.4104,10.0,4.9,2022
55.2257,-156.0035,3.3,2.8,2022
18.2221666666667,-67.0236666666667,19.44,2.62,2022
49.1774,158.4282,10.0,4.8,2022
-20.1467,-173.2588,10.0,4.8,2022
38.816,-122.8108333,1.68,3.22,2022
38.8233333,-122.8098333,1.72,2.55,2022
38.8176667,-122.8078333,2.43,3.27,2022
38.8121667,-122.8151667,3.26,3.33,2022
-9.0026,123.7407,113.567,4.6,2022
0.6267,125.5688,52.602,4.1,2022
-24.2273,-66.9737,185.056,4.2,2022
61.6663,-149.9104,19.2,3.5,2022
38.1958333,-112.2805,5.76,2.51,2022
19.2111,-64.1951,35.0,3.7,2022
18.1738333333333,-67.3771666666667,25.3,2.54,2022
56.4184,-156.3812,27.2,2.8,2022
-1.6438,-77.6628,181.838,4.6,2022
61.3087,-150.4114,53.9,2.5,2022
54.1755,-162.486,35.0,2.7,2022
18.8243,99.1277,5.411,4.2,2022
31.60955928,-104.2722054,7.288427734,2.9,2022
67.9457,-170.1216,10.583,2.8,2022
40.3865,-124.2983333,26.46,2.67,2022
36.2664,71.2038,99.091,4.3,2022
55.7651,-158.7941,53.0,2.5,2022
-19.8869,-175.8445,275.688,4.3,2022
-5.1643,102.4005,35.0,4.6,2022
18.2223,-68.8055,131.0,3.8,2022
36.2746667,-89.4768333,7.65,2.51,2022
-4.433,134.733,10.0,4.3,2022
19.1283333333333,-66.5978333333333,20.45,3.2,2022
19.1213333333333,-66.6,21.05,3.27,2022
19.4433333333333,-66.1638333333333,20.34,3.29,2022
52.5675,160.3574,37.238,4.5,2022
-21.5602,-68.5527,144.433,4.4,2022
35.9405,-97.89,6.42,2.59,2022
17.9496666666667,-67.013,8.6,2.52,2022
5.1082,124.7121,384.244,4.0,2022
52.0837,-169.4062,10.0,3.9,2022
18.8784,145.7201,175.434,4.3,2022
-24.4447,-179.0654,417.594,4.6,2022
67.1248,-158.3738,13.2,2.6,2022
51.632,174.7057,10.0,4.4,2022
3.2116,128.0122,71.968,4.6,2022
51.4221,-177.4342,33.973,2.6,2022
-4.8107,121.9933,9.759,4.4,2022
38.4568,73.4456,124.266,4.1,2022
52.6423,-165.2625,10.0,3.8,2022
41.9822,145.1996,10.0,4.2,2022
-18.6545,169.288,250.06,4.3,2022
18.8641666666667,-67.181,8.26,2.94,2022
39.6901,143.4348,27.949,4.6,2022
62.7229,-151.7059,5.0,2.5,2022
51.3219,-178.3933,31.413,2.8,2022
3.891,126.3138,72.829,4.0,2022
51.3704,178.7472,43.242,3.1,2022
6.7327,125.1351,34.0,5.5,2022
62.8965,-151.2947,106.8,2.6,2022
19.1591666666667,-66.6021666666667,18.39,3.4,2022
51.5085,-175.8019,36.369,2.5,2022
39.6478,143.3627,23.675,5.2,2022
19.1288333333333,-66.5833333333333,36.9,3.18,2022
19.1185,-66.5961,18.0,3.8,2022
10.2641,-106.8488,10.0,4.1,2022
39.6102,143.4047,26.111,4.6,2022
37.7231,92.2724,29.683,5.3,2022
2.1377,128.421,68.269,5.1,2022
58.3625,-155.7758,153.3,3.5,2022
-6.8988,130.1207,75.807,4.3,2022
54.0114,-164.577,13.428,3.1,2022
-6.1221,29.6077,10.0,4.2,2022
-20.6503,-69.2182,99.314,4.4,2022
-18.286,-177.7995,620.296,4.0,2022
45.0494,142.5121,269.853,4.0,2022
31.64591099,-104.3809226,6.285815430000001,2.8,2022
61.3797,-149.8146,31.1,3.0,2022
61.3829,-149.7935,36.64,3.2,2022
18.1881666666667,-67.1936666666667,104.59,3.18,2022
-21.1495,-68.9392,118.42,4.3,2022
17.4353,-95.0983,126.763,4.1,2022
-2.2212,-79.9025,72.292,4.7,2022
-19.0007,-172.7353,10.0,5.0,2022
-10.4839,161.28,74.66,4.6,2022
-31.1119,58.7895,10.0,4.9,2022
-16.7225,-174.271,147.075,4.5,2022
-50.6122,139.3454,10.0,4.5,2022
2.2651,129.0759,10.0,4.4,2022
43.3293,140.2022,180.053,4.2,2022
19.0236666666667,-66.0743333333333,37.91,3.12,2022
-23.1304,-178.1606,291.81,4.5,2022
11.4817,-86.9819,28.269,4.6,2022
51.3239,-177.1279,35.0,4.0,2022
-0.8263,121.5723,11.03,4.9,2022
51.3607,-174.4114,17.526,4.7,2022
19.1868324279785,-155.46516418457,35.4199981689453,2.50999999,2022
55.9793,-154.6904,44.2,2.5,2022
-9.3432,158.8998,10.0,4.2,2022
-18.4525,168.8465,121.911,4.0,2022
-7.06,129.2402,171.316,4.4,2022
-24.0458,-70.6569,38.8,4.5,2022
18.7233,-64.4693,5.0,3.57,2022
-7.3295,128.6603,144.873,4.0,2022
-21.6277,169.28,10.0,4.4,2022
37.3605,-121.7188333,6.42,2.52,2022
-21.5478,169.2095,10.0,4.9,2022
52.6761,-169.7823,35.0,2.6,2022
19.1353340148926,-155.47917175293,11.25,2.68,2022
-49.5288,164.1842,18.036,4.4,2022
36.6385,71.1062,203.205,4.1,2022
51.449,-178.5445,66.323,4.2,2022
35.3062,-4.0765,10.0,4.3,2022
51.5762,178.8959,70.049,2.6,2022
-7.882,127.6425,59.289,4.3,2022
53.8561,-131.6103,14.5,2.8,2022
-18.4416,-69.5271,133.197,4.2,2022
10.6584,125.4465,89.825,4.4,2022
72.3036,2.273,10.0,4.4,2022
18.2105,-67.0855,21.41,2.5,2022
-19.8907,-175.4638,114.128,5.0,2022
-15.5647,-173.5673,62.83,4.0,2022
51.197,179.8205,26.459,2.8,2022
19.5793,-109.3055,10.0,4.3,2022
7.6381,-82.3911,10.0,4.5,2022
-21.4649,-176.1506,201.574,4.5,2022
18.0221666666667,-67.0975,49.18,2.98,2022
18.8306666666667,-67.1325,73.81,3.29,2022
9.8698,125.8616,95.454,4.2,2022
37.4163,141.2093,40.722,4.9,2022
65.6774,-165.1888,14.2,2.6,2022
51.1007,-179.5354,35.0,3.1,2022
18.1961,-68.0041,83.0,3.51,2022
53.8685,-131.631,7.579,3.9,2022
-21.1848,168.9867,10.0,4.8,2022
31.64865291,-104.223799,6.131567383,2.5,2022
19.4808,-155.6587,12.406,2.8,2022
-8.8422,124.1119,110.478,4.2,2022
