latitude,longitude,depth,mag,year
18.899,-67.8238,10.0,3.2,2020
38.4961,39.3382,10.0,4.7,2020
-12.2747,-76.6148,75.51,4.7,2020
17.9728,-66.7786,6.0,2.77,2020
-6.4065,129.1523,221.39,5.0,2020
17.9476,-66.969,10.0,2.72,2020
41.4433,19.4321,10.0,4.4,2020
17.8331,-66.874,4.0,2.54,2020
6.0924,-82.54,10.0,4.5,2020
17.7885,-66.872,6.0,2.74,2020
40.8847,79.119,10.0,4.3,2020
40.9924,-114.9982,8.6,2.6,2020
51.0731,-179.8197,9.7,2.5,2020
66.2815,-157.2501,11.1,3.4,2020
17.9221,-66.9663,6.0,2.62,2020
19.0209,-67.57,7.23,2.7,2020
-19.2567,-177.5831,580.63,4.2,2020
35.884,140.0639,64.0,5.3,2020
17.946,-66.8791,15.0,2.6,2020
52.2389,-170.0741,44.16,3.3,2020
35.6513,140.7281,35.43,5.2,2020
17.8755,-66.8573,12.0,2.67,2020
19.052,-67.8428,10.0,2.82,2020
17.9305,-66.833,13.0,3.04,2020
19.4288333,-155.6086667,-1.48,2.59,2020
-29.7981,-175.8494,10.0,4.5,2020
52.4016,-169.347,35.0,3.5,2020
60.2269,-140.9955,11.7,2.9,2020
50.8174,157.0345,81.3,4.3,2020
-25.3656,178.4003,574.81,5.7,2020
54.3575,-161.5837,10.0,2.7,2020
17.8873,-66.8408,14.0,3.0,2020
51.8244,-177.9483,10.0,3.8,2020
-25.8184,-69.3011,135.12,4.3,2020
17.934,-66.7588,11.0,2.9,2020
66.3018,-157.2157,10.7,3.1,2020
61.5967,-146.2496,26.6,2.6,2020
17.8828,-66.8261,9.0,2.8,2020
-8.349,156.5095,10.0,5.1,2020
-8.2691,156.5334,10.0,5.4,2020
37.6977,142.4966,30.51,4.2,2020
18.091,145.6672,120.93,4.7,2020
60.2948,-141.0884,9.3,3.0,2020
17.9376,-66.959,7.0,2.8,2020
17.8785,-66.835,14.0,2.5,2020
55.7981,-149.3295,10.27,5.1,2020
6.687,125.3714,31.48,5.0,2020
37.249,-122.1578333,11.64,2.65,2020
-22.7329,-174.5266,10.0,5.0,2020
17.9748,-66.816,14.0,2.55,2020
24.815,98.0962,10.0,4.4,2020
51.8408,-177.9415,10.0,2.8,2020
-30.0288,-178.8133,225.15,4.0,2020
53.9426,-162.8451,10.0,2.9,2020
37.0057,-24.2551,10.0,4.7,2020
35.5196667,-117.4046667,7.43,2.75,2020
19.1593342,-155.4734955,34.04,2.5,2020
47.7191,154.2286,9.29,5.0,2020
35.3081,27.97,10.0,4.0,2020
51.8769,-177.937,5.85,3.1,2020
-28.0389,63.2163,10.0,4.6,2020
24.8057,122.0513,5.46,4.4,2020
-24.8211,-179.8861,508.04,4.3,2020
32.3908333,-115.2363333,18.88,3.0,2020
17.8998,-66.8678,6.0,2.5,2020
37.4381667,-118.8778333,6.5,2.52,2020
58.8618,-153.8253,0.0,3.4,2020
58.8306,-153.5903,6.5,3.4,2020
31.6723,-104.3842,5.0,2.7,2020
-18.9217,-172.7421,10.0,4.8,2020
31.6595,-104.38,8.56,2.8,2020
52.7754,-167.6345,35.0,3.2,2020
24.8037,122.0331,10.0,4.6,2020
58.8314,-153.6106,8.1,3.4,2020
39.768,77.2433,10.0,4.6,2020
-30.4704,-178.4964,121.36,4.6,2020
17.8983,-66.9611,10.0,2.98,2020
17.9408,-66.8373,14.0,2.63,2020
19.0676,-64.2183,40.0,3.4,2020
65.9661,-166.2082,8.37,3.1,2020
19.1006,-67.647,10.0,3.16,2020
35.2372,27.9719,10.0,4.7,2020
17.9311,-66.9236,9.0,2.79,2020
51.8246,-177.9039,10.0,2.8,2020
17.7671,-66.9028,5.0,2.57,2020
1.1273,126.3388,34.88,4.3,2020
46.7898,-112.2885,5.0,3.3,2020
17.8745,-66.8536,11.0,2.63,2020
31.7132,-104.0271,5.0,3.6,2020
31.7083,-104.0187,5.0,3.6,2020
-3.3503,146.236,10.0,4.3,2020
17.8105,-66.876,7.0,2.87,2020
-3.2761,146.1912,10.0,4.9,2020
17.977,-66.7368,8.0,2.9,2020
-21.554,-178.0356,468.49,4.5,2020
45.7414,26.6516,122.12,4.8,2020
16.7516,-100.1174,10.0,4.2,2020
17.9145,-66.7446,10.0,2.52,2020
17.9808,-66.715,13.0,3.4,2020
17.8755,-66.8651,11.0,2.53,2020
54.3948,-165.4478,106.96,2.6,2020
58.8784,-153.8081,0.0,3.1,2020
17.9231,-66.9141,9.0,2.65,2020
-3.3797,146.1673,10.0,5.9,2020
19.1961,-67.856,53.0,3.39,2020
-3.6423,-75.3493,10.0,5.1,2020
-1.9129,99.9044,35.0,4.8,2020
17.8871,-66.839,11.0,2.76,2020
61.5048,-146.5539,12.3,3.3,2020
17.9108,-66.9586,6.0,2.59,2020
17.9923,-66.7945,18.0,2.61,2020
-6.2325,142.9124,10.0,4.0,2020
17.934,-66.9255,8.0,2.87,2020
17.933,-66.8603,11.0,2.94,2020
18.936,-80.9582,10.0,4.7,2020
55.1183,-162.8515,112.21,2.6,2020
-42.7713,-82.7123,10.0,4.3,2020
49.9582,-177.873,10.0,4.6,2020
18.0261,-66.819,11.0,3.12,2020
56.4241,-149.9201,10.0,3.0,2020
-9.9763,160.9575,10.0,5.0,2020
17.938,-66.928,13.0,2.52,2020
17.9353,-66.7736,11.0,2.95,2020
51.2183,-177.6653,35.0,2.7,2020
17.972,-66.7801,6.0,2.58,2020
56.4214,-148.7371,10.0,2.8,2020
17.9586,-66.7801,7.0,3.06,2020
17.9545,-66.7825,6.0,3.54,2020
36.7001667,-121.3308333,3.74,2.8,2020
17.9825,-66.8576,12.0,3.07,2020
-19.5667,-177.3474,567.83,4.3,2020
17.921,-66.9633,8.0,2.73,2020
-42.5122,-82.7329,10.0,4.4,2020
17.9251,-66.81,10.0,2.52,2020
31.1216,-103.2815,5.0,3.4,2020
17.9141,-66.8838,10.0,2.87,2020
17.9,-66.629,11.0,2.81,2020
56.3044,-150.0358,10.0,4.2,2020
18.8803,-67.776,10.0,2.6,2020
58.1911,-152.8394,48.8,2.7,2020
0.9493,127.3309,163.6,4.6,2020
-10.0493,160.8367,26.14,4.8,2020
-0.042,30.1568,24.43,4.4,2020
52.2903,-174.5475,226.46,3.2,2020
17.8278,-66.8473,2.0,2.58,2020
-1.966,-91.4084,10.0,4.5,2020
19.3295,-155.1176667,6.55,2.6,2020
58.269,-155.9152,142.0,2.5,2020
19.331,-155.1216667,7.23,3.01,2020
35.0459,27.8333,10.0,4.2,2020
17.9061,-66.9385,6.0,2.98,2020
35.1067,27.793,10.0,4.3,2020
18.8823,-67.5891,8.0,2.77,2020
18.9935,-67.8051,15.0,3.32,2020
35.1817,27.7814,10.0,5.7,2020
-14.9201,167.8262,10.0,4.4,2020
66.452,-143.3606,8.3,2.8,2020
17.8631,-66.8801,12.0,2.96,2020
59.9197,-152.6505,84.6,2.5,2020
17.9683,-66.7878,9.0,3.13,2020
17.9176,-66.8856,9.0,3.19,2020
17.9073,-66.7416,7.0,2.73,2020
17.9345,-66.9865,5.0,2.67,2020
17.9618,-66.7756,7.0,2.52,2020
17.9691,-66.8691,14.0,2.67,2020
19.0862,-80.8912,10.0,4.0,2020
17.8941,-66.867,8.0,3.2,2020
38.9966,94.7497,10.0,4.6,2020
17.8743,-66.8331,9.0,2.71,2020
16.7697,-99.9292,10.0,4.3,2020
16.6629,-100.1306,10.0,4.0,2020
35.0556667,-118.3195,1.93,2.84,2020
18.7885,-64.5858,29.0,3.47,2020
16.9407,-99.9791,13.59,5.2,2020
6.7813,-72.9965,162.56,4.6,2020
18.9975,-67.85,11.0,3.21,2020
